PC6,number_of_charger,total_capacity
1011AB,2,22.0
1011AC,1,11.0
1011BG,1,22.0
1011CA,1,11.0
1011EG,1,11.0
1011GH,1,22.0
1011GT,1,11.0
1011GZ,1,11.0
1011HB,1,11.0
1011JV,1,11.0
1011KC,1,11.0
1011KS,1,11.0
1011KX,1,22.0
1011LL,1,11.0
1011LX,2,22.0
1011LZ,1,11.0
1011MN,1,11.0
1011PL,1,22.0
1011RG,1,22.0
1011RK,1,11.0
1011RL,1,11.0
1011RN,1,11.0
1011TB,1,11.0
1011TE,1,22.0
1011TG,1,11.0
1011TM,1,11.0
1011VA,1,11.0
1012AB,3,150.0
1012AD,1,11.0
1012BH,1,11.0
1012CK,1,11.0
1012CR,1,11.0
1012CZ,1,11.0
1012EG,1,11.0
1012ES,1,11.0
1012GH,1,11.0
1012GM,1,11.0
1012RB,1,11.0
1012RD,1,11.0
1012SG,1,11.0
1012SH,1,11.0
1012SP,2,33.0
1012SR,1,11.0
1012SZ,1,11.0
1012VC,1,11.0
1012VG,1,11.0
1012VP,1,11.0
1012WL,1,11.0
1013AK,1,11.0
1013AR,1,11.0
1013AX,3,33.0
1013AZ,1,22.0
1013BC,1,11.0
1013BV,2,22.0
1013BW,2,22.0
1013BX,1,11.0
1013CM,1,11.0
1013EC,1,11.0
1013GM,3,55.0
1013HC,1,11.0
1013HG,1,11.0
1013HV,1,11.0
1013KS,2,22.0
1013KT,1,11.0
1013KW,1,11.0
1013LC,1,11.0
1013LE,1,11.0
1013LM,1,11.0
1013LR,1,11.0
1013MB,1,11.0
1013MC,1,11.0
1013MD,1,11.0
1013MG,1,22.0
1013MK,1,22.0
1013MP,1,11.0
1013NB,1,11.0
1013NJ,3,33.0
1013NM,2,22.0
1013NT,1,11.0
1013PL,1,11.0
1013PP,1,22.0
1013PW,1,11.0
1013RA,1,11.0
1013RJ,1,11.0
1013RK,1,11.0
1013RP,1,11.0
1013RW,1,11.0
1013SE,1,11.0
1013SH,1,11.0
1013SK,1,22.0
1013SV,1,11.0
1013TN,1,22.0
1013TP,1,11.0
1013VN,1,11.0
1013VP,1,11.0
1013VV,1,11.0
1013WG,1,22.0
1013WK,1,11.0
1013WV,1,11.0
1013XS,1,11.0
1013ZV,2,22.0
1013zd,1,11.0
1014AH,1,22.0
1014AJ,1,11.0
1014AK,5,133.0
1014AN,2,22.0
1014AP,1,22.0
1014AS,1,11.0
1014AT,1,11.0
1014AV,1,22.0
1014AW,1,11.0
1014BA,1,11.0
1014ZB,1,11.0
1014ZC,3,33.0
1014ZG,2,22.0
1015AB,3,33.0
1015AH,1,11.0
1015AS,2,22.0
1015BG,1,11.0
1015BK,1,11.0
1015BR,1,11.0
1015BT,1,11.0
1015CC,1,11.0
1015CG,1,11.0
1015CL,1,11.0
1015CR,1,11.0
1015CX,1,11.0
1015DR,1,11.0
1015DS,1,22.0
1015DT,1,11.0
1015DV,1,11.0
1015DW,1,11.0
1015EB,1,11.0
1015GG,1,11.0
1015GH,1,11.0
1015HC,1,11.0
1015HJ,1,11.0
1015HL,1,11.0
1015HM,2,22.0
1015HR,1,22.0
1015JD,2,33.0
1015JE,1,22.0
1015JG,1,11.0
1015KE,2,33.0
1015KG,1,11.0
1015KH,1,11.0
1015KJ,1,11.0
1015KK,1,11.0
1015KN,1,11.0
1015LL,1,11.0
1015LT,1,11.0
1015MA,2,33.0
1015MH,1,11.0
1015MK,1,22.0
1015MN,1,11.0
1015MS,1,11.0
1015MT,1,11.0
1015MZ,1,11.0
1015TR,1,11.0
1015TT,1,11.0
1015WK,2,22.0
1015WZ,2,22.0
1015XK,1,11.0
1015XL,1,11.0
1015XM,1,22.0
1015XP,1,11.0
1015XR,1,11.0
1015ZH,1,11.0
1015ZR,1,11.0
1016AB,2,22.0
1016AK,1,11.0
1016AW,1,11.0
1016BK,1,11.0
1016BS,1,11.0
1016CD,1,11.0
1016CJ,2,22.0
1016DK,2,22.0
1016DT,1,11.0
1016DX,1,11.0
1016EB,1,11.0
1016EH,1,11.0
1016EV,1,11.0
1016GD,3,33.0
1016GE,1,11.0
1016GL,1,11.0
1016GX,1,11.0
1016HM,1,11.0
1016HV,1,11.0
1016HX,1,11.0
1016KD,1,11.0
1016KG,1,11.0
1016KP,2,22.0
1016LT,1,11.0
1016NB,1,11.0
1016NG,1,11.0
1016NL,1,22.0
1016NN,1,11.0
1016NP,1,11.0
1016RL,1,11.0
1016RM,1,11.0
1016SZ,1,11.0
1016TB,1,11.0
1016TL,1,11.0
1016TP,1,11.0
1016TR,1,11.0
1016TZ,1,11.0
1016VR,1,11.0
1016VT,1,11.0
1016VV,1,11.0
1016XH,1,11.0
1016XK,6,66.0
1016XP,1,11.0
1017AJ,2,22.0
1017AK,1,11.0
1017AS,1,11.0
1017AV,1,11.0
1017BS,1,11.0
1017BV,1,11.0
1017BW,1,11.0
1017CC,1,11.0
1017CD,2,22.0
1017CG,1,22.0
1017CJ,1,11.0
1017DR,2,22.0
1017DW,1,11.0
1017EA,1,11.0
1017ED,1,11.0
1017EG,1,11.0
1017EM,1,11.0
1017ET,1,11.0
1017GN,1,11.0
1017HW,1,11.0
1017JD,2,22.0
1017JH,1,22.0
1017JK,1,11.0
1017KA,2,22.0
1017KB,1,11.0
1017KD,1,11.0
1017KJ,1,11.0
1017KL,1,11.0
1017KV,1,11.0
1017KX,1,11.0
1017KZ,1,11.0
1017LA,1,11.0
1017LC,1,11.0
1017LT,1,11.0
1017LW,1,11.0
1017NB,1,22.0
1017RK,2,22.0
1017RM,2,22.0
1017RT,2,22.0
1017SB,1,11.0
1017SG,1,11.0
1017SJ,1,11.0
1017SK,2,33.0
1017TC,2,22.0
1017VW,2,22.0
1017WS,2,22.0
1017WZ,1,11.0
1017XE,1,11.0
1017XG,1,11.0
1017XJ,1,22.0
1017XK,2,22.0
1017XL,1,22.0
1017XM,3,33.0
1017XN,1,11.0
1017XS,1,22.0
1017XW,1,22.0
1017XZ,1,11.0
1017ZJ,1,11.0
1017ZL,2,22.0
1017ZN,1,11.0
1017ZS,1,11.0
1018AC,1,11.0
1018AD,1,11.0
1018AL,3,33.0
1018AP,2,22.0
1018AR,1,22.0
1018BH,1,11.0
1018BK,1,22.0
1018BR,1,22.0
1018CC,1,22.0
1018CG,1,11.0
1018CM,2,33.0
1018CN,1,11.0
1018CZ,1,11.0
1018DD,1,11.0
1018DJ,1,11.0
1018DR,1,11.0
1018DT,1,22.0
1018EE,1,11.0
1018EG,1,11.0
1018ET,1,11.0
1018GB,2,22.0
1018GJ,1,11.0
1018GV,1,11.0
1018GX,2,22.0
1018HJ,1,11.0
1018HL,1,22.0
1018JE,1,11.0
1018JG,1,22.0
1018JR,1,11.0
1018KN,1,11.0
1018KP,1,22.0
1018LJ,1,11.0
1018LT,3,44.0
1018LZ,1,11.0
1018MR,1,11.0
1018MS,1,11.0
1018MT,1,22.0
1018MZ,3,44.0
1018NC,1,11.0
1018NK,1,11.0
1018NW,1,11.0
1018PE,1,11.0
1018RB,1,11.0
1018RK,2,22.0
1018RW,1,11.0
1018SK,1,11.0
1018SL,1,22.0
1018SR,1,11.0
1018SV,1,22.0
1018TJ,1,22.0
1018TS,1,22.0
1018TV,4,44.0
1018TZ,1,22.0
1018VA,1,11.0
1018VE,1,11.0
1018VH,1,22.0
1018VJ,1,22.0
1018VM,1,11.0
1018VS,1,11.0
1018WC,2,22.0
1018WG,2,22.0
1018XK,2,22.0
1018XW,1,11.0
1018ZD,2,22.0
1018ZL,1,11.0
1018ZN,1,22.0
1018ZS,1,11.0
1018ZZ,1,11.0
1019AA,1,11.0
1019AD,1,11.0
1019AH,2,22.0
1019AX,1,11.0
1019BX,1,11.0
1019CV,1,11.0
1019DA,1,11.0
1019DD,1,11.0
1019DG,1,11.0
1019DP,2,33.0
1019ED,3,44.0
1019EH,1,11.0
1019GD,1,11.0
1019HA,1,11.0
1019JZ,1,22.0
1019KN,1,11.0
1019KR,1,11.0
1019LB,1,22.0
1019LL,3,33.0
1019LS,2,33.0
1019MD,1,22.0
1019ME,1,11.0
1019PK,1,11.0
1019PM,1,11.0
1019PV,1,11.0
1019RC,1,11.0
1019RD,1,11.0
1019RR,2,44.0
1019RV,1,11.0
1019SC,1,11.0
1019SE,1,11.0
1019SG,1,22.0
1019TB,1,11.0
1019TD,2,33.0
1019TH,1,11.0
1019TK,2,22.0
1019TR,1,22.0
1019VC,1,11.0
1019VK,1,22.0
1019WG,2,22.0
1019WV,1,22.0
1019WX,1,11.0
1019XD,1,22.0
1019XE,1,11.0
1019XG,2,22.0
1019XH,1,11.0
1021BS,1,22.0
1021CE,1,11.0
1021EB,1,11.0
1021EG,1,11.0
1021EK,1,11.0
1021EN,1,11.0
1021HC,1,22.0
1021JM,1,11.0
1021JR,1,11.0
1021JV,2,22.0
1021KN,1,11.0
1021LD,1,11.0
1021LL,1,11.0
1021NW,1,11.0
1021PS,2,22.0
1021TR,1,22.0
1021TT,1,11.0
1022AB,1,11.0
1022AC,1,11.0
1022AM,2,22.0
1022BA,1,11.0
1022BK,1,11.0
1022KB,1,11.0
1022KD,1,11.0
1022KE,1,11.0
1022KJ,1,22.0
1022KK,1,11.0
1022LA,5,55.0
1022WV,2,22.0
1023AK,1,11.0
1023AS,1,11.0
1023BA,1,11.0
1023BB,1,11.0
1023BC,1,11.0
1023BE,1,22.0
1023BM,1,11.0
1023BS,1,11.0
1023BX,1,11.0
1023EA,3,55.0
1023NA,1,11.0
1023NE,1,11.0
1023NT,1,11.0
1023PA,1,11.0
1023XG,1,11.0
1023XR,1,11.0
1024BA,1,22.0
1024BV,2,33.0
1024BX,1,11.0
1024CR,1,11.0
1024CX,1,22.0
