PC6,traffic_area,built_up_area,semi_built_up_area,recreational_area,agrarian_area,forest_nature_are,water_body_area
1011AB,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011AC,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011AD,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011AE,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011AG,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011AH,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011AJ,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011AK,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AL,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011AM,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AN,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AP,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AR,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AS,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AT,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AV,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AW,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AX,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011AZ,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BA,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BB,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BC,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BD,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BG,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BH,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BJ,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BK,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BL,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BM,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BN,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BP,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BR,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011BS,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011BT,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011BV,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011BW,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011BX,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011BZ,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CA,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CB,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CC,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CD,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CE,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CH,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CJ,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CK,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CL,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CM,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CN,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CP,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CR,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CS,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CT,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CV,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CW,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CX,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011CZ,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011DB,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011DC,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011DD,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011DE,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011DG,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011DH,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011DJ,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011DK,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011DL,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398
1011DZ,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EA,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EB,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EC,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011ED,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EE,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011EG,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011EH,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011EJ,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011EK,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011EL,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011EM,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011EN,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011ER,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011ES,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011ET,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EV,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EW,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EX,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011EZ,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GA,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GB,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GC,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GD,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GG,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GH,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GJ,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GK,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GL,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GM,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GN,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GP,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GR,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GS,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GT,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GV,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GW,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GX,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011GZ,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011HA,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011HB,0.0,6.4216999999999995,0.0,0.0,0.0,0.0,1.6890999999999998
1011HC,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HD,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HE,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HG,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HH,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HJ,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HK,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HL,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HM,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HN,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HP,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HR,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HS,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HT,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HV,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HW,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HX,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011HZ,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JA,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JB,0.524,8.068200000000001,0.0,0.0,0.0,0.0,1.4455
1011JC,0.0,6.4216999999999995,0.0,0.0,0.0,0.0,1.6890999999999998
1011JD,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JE,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JG,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JH,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JJ,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JK,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JL,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JM,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JN,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JP,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011JR,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011JS,0.0,6.4216999999999995,0.0,0.0,0.0,0.0,1.6890999999999998
1011JT,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JV,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JW,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JX,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011JZ,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KA,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KB,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KC,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KD,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KE,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KH,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KJ,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KK,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KM,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KN,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011KP,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KR,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KS,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KT,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KV,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KW,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KX,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011KZ,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011LA,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011LB,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LC,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LD,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LE,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LH,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
