PC4,2017,2018,2019,2020,2021,2022
1011,9645.0,9765.0,9670.0,9705.0,9630.0,9760.0
1012,8235.0,8235.0,8420.0,8600.0,8540.0,8800.0
1013,21080.0,21135.0,21335.0,21395.0,21255.0,21940.0
1014,645.0,620.0,1740.0,2180.0,2870.0,3660.0
1015,14810.0,14895.0,14885.0,14865.0,14850.0,14910.0
1016,10870.0,10935.0,10915.0,10980.0,10920.0,11130.0
1017,12665.0,12585.0,12645.0,12730.0,12715.0,13100.0
1018,20830.0,21010.0,20920.0,21110.0,21195.0,21055.0
1019,18700.0,18615.0,18905.0,18980.0,18820.0,19840.0
1021,7030.0,7085.0,7110.0,7040.0,6895.0,6935.0
1022,2895.0,3080.0,3125.0,3445.0,3795.0,4145.0
1023,4660.0,4675.0,4670.0,4690.0,4655.0,4595.0
1024,13270.0,13175.0,13185.0,13190.0,13560.0,13750.0
1025,15250.0,15295.0,15295.0,15620.0,15685.0,16305.0
1026,505.0,520.0,530.0,535.0,545.0,545.0
1027,450.0,500.0,505.0,535.0,545.0,545.0
1028,570.0,585.0,605.0,615.0,625.0,630.0
1031,6010.0,6495.0,6395.0,6555.0,6970.0,7830.0
1032,5455.0,5635.0,5705.0,5915.0,6080.0,6210.0
1033,11730.0,12065.0,12460.0,12730.0,13070.0,13220.0
1034,14560.0,14490.0,14615.0,14965.0,15000.0,14920.0
1035,10315.0,10355.0,10550.0,10730.0,10720.0,10755.0
1036,1920.0,2145.0,2295.0,2540.0,2615.0,2670.0
1037,135.0,145.0,145.0,145.0,140.0,140.0
1041,10.0,5.0,10.0,15.0,10.0,5.0
1042,15.0,20.0,25.0,25.0,25.0,20.0
1043,85.0,435.0,775.0,720.0,715.0,945.0
1044,,,0.0,0.0,,
1045,115.0,110.0,80.0,15.0,0.0,
1046,45.0,80.0,80.0,80.0,100.0,105.0
1047,30.0,30.0,30.0,50.0,55.0,55.0
1051,13415.0,13435.0,13380.0,13325.0,13110.0,13125.0
1052,12665.0,12660.0,12395.0,12305.0,12325.0,12215.0
1053,16165.0,16365.0,16375.0,16630.0,16505.0,16540.0
1054,17175.0,17165.0,17215.0,17135.0,17150.0,17110.0
1055,20600.0,20585.0,20960.0,21180.0,21115.0,20905.0
1056,19855.0,19975.0,20245.0,20385.0,20750.0,20690.0
1057,17795.0,17610.0,17530.0,17535.0,17425.0,17345.0
1058,15870.0,15930.0,15885.0,15955.0,15760.0,15700.0
1059,6535.0,6520.0,6520.0,6580.0,6505.0,7065.0
1060,10190.0,10205.0,10150.0,10060.0,9955.0,9935.0
1061,14555.0,14790.0,15190.0,15885.0,16330.0,16710.0
1062,9665.0,11960.0,12740.0,13575.0,13715.0,14250.0
1063,12830.0,12795.0,12795.0,12890.0,12470.0,12440.0
1064,16455.0,16945.0,17010.0,17120.0,17005.0,16660.0
1065,11845.0,12100.0,12135.0,12250.0,12170.0,11975.0
1066,17730.0,17970.0,18055.0,18225.0,18330.0,19010.0
1067,19050.0,19015.0,19835.0,20200.0,19975.0,20120.0
1068,16115.0,16300.0,16295.0,16675.0,17150.0,17430.0
1069,26270.0,26450.0,26265.0,26350.0,25885.0,26095.0
1071,12840.0,12630.0,12725.0,12620.0,12535.0,12625.0
1072,13675.0,13765.0,13745.0,13730.0,13665.0,13635.0
1073,13345.0,13380.0,13295.0,13360.0,13125.0,13145.0
1074,8250.0,8205.0,8295.0,8355.0,8295.0,8220.0
1075,10485.0,10410.0,10500.0,10550.0,10665.0,10605.0
1076,10925.0,11230.0,11325.0,11415.0,11340.0,11305.0
1077,9920.0,9905.0,9880.0,9785.0,9735.0,9930.0
1078,15055.0,14995.0,14845.0,14765.0,14555.0,14655.0
1079,14585.0,14670.0,14680.0,14680.0,14585.0,14685.0
1081,5160.0,5255.0,5345.0,5320.0,5270.0,5335.0
1082,10830.0,11650.0,11865.0,12115.0,12150.0,12490.0
1083,7510.0,7580.0,7600.0,7760.0,7605.0,7780.0
1086,4100.0,4105.0,4205.0,4255.0,4275.0,4305.0
1087,18115.0,18825.0,19525.0,19750.0,19670.0,19860.0
1091,16585.0,16680.0,16935.0,16980.0,16765.0,16720.0
1092,9165.0,9095.0,9005.0,9025.0,8880.0,8890.0
1093,9760.0,10065.0,10185.0,10225.0,10045.0,9960.0
1094,12665.0,12645.0,12625.0,12530.0,12515.0,12295.0
1095,12425.0,13340.0,13695.0,14605.0,14725.0,15010.0
1096,4410.0,4600.0,4790.0,5075.0,5245.0,5415.0
1097,14310.0,14055.0,14565.0,14880.0,15035.0,15345.0
1098,15575.0,15450.0,15870.0,15790.0,15535.0,15470.0
1099,,,,,,
1101,150.0,175.0,95.0,120.0,100.0,140.0
1102,24395.0,24275.0,24170.0,24935.0,24565.0,24430.0
1103,14050.0,14190.0,14275.0,14275.0,14180.0,14200.0
1104,14450.0,14635.0,15185.0,15495.0,15665.0,15690.0
1105,515.0,540.0,620.0,625.0,1525.0,2465.0
1106,18245.0,18095.0,18095.0,18080.0,17810.0,17690.0
1107,11530.0,11560.0,11600.0,11635.0,11545.0,11455.0
1108,2980.0,2935.0,2920.0,3035.0,3060.0,2950.0
1109,1525.0,1550.0,1605.0,1620.0,1625.0,1645.0
