PC4,December 2017_EV,December 2018_EV,December 2019_EV,December 2020_EV,December 2021_EV,December 2022_EV
1011,56.0,78.0,136.0,198.0,296.0,367.0
1012,20.0,30.0,48.0,59.0,67.0,79.0
1013,647.0,1316.0,2539.0,3160.0,3483.0,228.0
1014,13.0,28.0,64.0,135.0,252.0,363.0
1015,19.0,27.0,54.0,70.0,106.0,116.0
1016,25.0,30.0,59.0,75.0,97.0,126.0
1017,41.0,58.0,82.0,112.0,144.0,211.0
1018,29.0,47.0,81.0,105.0,135.0,174.0
1019,26.0,44.0,82.0,112.0,152.0,189.0
1020,,,,,,
1021,6.0,14.0,27.0,41.0,42.0,42.0
1022,3.0,5.0,6.0,16.0,20.0,35.0
1023,0.0,4.0,14.0,21.0,30.0,41.0
1024,14.0,23.0,26.0,36.0,54.0,78.0
1025,5.0,11.0,25.0,33.0,48.0,73.0
1026,2.0,3.0,5.0,7.0,6.0,10.0
1027,1.0,2.0,3.0,4.0,7.0,12.0
1028,6.0,6.0,11.0,18.0,21.0,25.0
1030,,,,,,
1031,7.0,13.0,23.0,36.0,56.0,98.0
1032,5.0,12.0,23.0,33.0,43.0,55.0
1033,169.0,161.0,198.0,237.0,155.0,123.0
1034,7.0,13.0,18.0,25.0,33.0,52.0
1035,10.0,16.0,23.0,39.0,59.0,98.0
1036,4.0,4.0,9.0,15.0,23.0,37.0
1037,0.0,0.0,1.0,1.0,1.0,2.0
1040,,,,,,
1041,4.0,5.0,7.0,8.0,11.0,15.0
1042,5.0,14.0,27.0,45.0,66.0,60.0
1043,17.0,46.0,120.0,211.0,297.0,340.0
1044,0.0,0.0,1.0,1.0,3.0,4.0
1045,2.0,1.0,1.0,1.0,3.0,4.0
1046,4.0,15.0,23.0,36.0,58.0,73.0
1047,0.0,4.0,4.0,6.0,5.0,7.0
1051,7.0,14.0,26.0,50.0,54.0,62.0
1052,6.0,11.0,17.0,22.0,37.0,51.0
1053,11.0,13.0,29.0,35.0,53.0,67.0
1054,16.0,22.0,44.0,71.0,99.0,132.0
1055,11.0,17.0,32.0,41.0,62.0,95.0
1056,7.0,12.0,17.0,27.0,36.0,55.0
1057,3.0,9.0,20.0,23.0,32.0,59.0
1058,6.0,16.0,33.0,48.0,64.0,94.0
1059,5.0,17.0,23.0,37.0,42.0,55.0
1060,13.0,24.0,48.0,61.0,96.0,135.0
1061,11.0,15.0,24.0,34.0,48.0,62.0
1062,11.0,17.0,37.0,51.0,72.0,88.0
1063,12.0,15.0,17.0,22.0,29.0,41.0
1064,7.0,11.0,18.0,25.0,38.0,61.0
1065,5.0,7.0,12.0,19.0,27.0,34.0
1066,23.0,31.0,55.0,76.0,103.0,140.0
1067,20.0,28.0,41.0,49.0,63.0,103.0
1068,10.0,16.0,29.0,35.0,49.0,71.0
1069,18.0,25.0,40.0,68.0,90.0,122.0
1070,,,,,,
1071,38.0,51.0,76.0,97.0,135.0,183.0
1072,4.0,12.0,29.0,41.0,58.0,72.0
1073,7.0,10.0,23.0,32.0,44.0,62.0
1074,9.0,13.0,26.0,29.0,39.0,51.0
1075,11.0,37.0,69.0,94.0,117.0,149.0
1076,12.0,18.0,44.0,60.0,82.0,101.0
1077,44.0,72.0,99.0,120.0,157.0,192.0
1078,7.0,17.0,30.0,43.0,73.0,98.0
1079,7.0,11.0,20.0,30.0,49.0,74.0
1080,,,,,,
1081,16.0,31.0,47.0,67.0,82.0,104.0
1082,69.0,122.0,434.0,877.0,1185.0,1293.0
1083,334.0,367.0,345.0,348.0,479.0,516.0
1086,18.0,24.0,42.0,50.0,60.0,85.0
1087,32.0,56.0,101.0,145.0,190.0,263.0
1090,,,,,,
1091,6.0,14.0,25.0,37.0,52.0,80.0
1092,6.0,18.0,27.0,37.0,44.0,45.0
1093,6.0,10.0,21.0,28.0,31.0,38.0
1094,1.0,4.0,10.0,15.0,18.0,29.0
1095,4.0,7.0,12.0,20.0,32.0,62.0
1096,27.0,49.0,92.0,127.0,172.0,204.0
1097,19.0,21.0,36.0,46.0,987.0,4687.0
1098,15.0,24.0,49.0,68.0,91.0,125.0
1100,,,,,,0.0
1101,74.0,102.0,155.0,327.0,536.0,597.0
1102,99.0,216.0,580.0,688.0,869.0,996.0
1103,5.0,8.0,11.0,17.0,32.0,55.0
1104,5.0,10.0,12.0,21.0,31.0,46.0
1105,7.0,5.0,28.0,44.0,73.0,67.0
1106,6.0,7.0,11.0,20.0,48.0,74.0
1107,1.0,2.0,4.0,6.0,12.0,18.0
1108,1.0,0.0,2.0,2.0,7.0,8.0
1109,2.0,4.0,6.0,8.0,14.0,16.0
